City,Colors Reported,Shape Reported,State,Time,IN-December,Time_Diff_From_WW1
Carolina,,DISK,WV,1982-07-28 11:00:00,False,24837 days 11:00:00
Holden Beach,,OTHER,NC,1982-07-30 22:00:00,False,24839 days 22:00:00
Burnsville,,LIGHT,MN,1982-08-01 19:00:00,False,24841 days 19:00:00
Fremont,,DISK,CA,1982-08-01 23:30:00,False,24841 days 23:30:00
Rome,,CIGAR,NY,1982-08-05 20:30:00,False,24845 days 20:30:00
Banks Lake,,OTHER,WA,1982-08-05 23:00:00,False,24845 days 23:00:00
Townsen,,,MT,1982-08-08 22:00:00,False,24848 days 22:00:00
Manteca,,DISK,CA,1982-08-10 00:00:00,False,24850 days 00:00:00
Stockton,,DISK,CA,1982-08-10 07:30:00,False,24850 days 07:30:00
Stockton,,DISK,CA,1982-08-10 19:30:00,False,24850 days 19:30:00
Marysville,,DISK,CA,1982-08-10 22:30:00,False,24850 days 22:30:00
Littleton,,RECTANGLE,MA,1982-08-13 00:30:00,False,24853 days 00:30:00
Highland Heights,,TEARDROP,OH,1982-08-15 01:00:00,False,24855 days 01:00:00
Llincoln,,DISK,NE,1982-08-15 03:00:00,False,24855 days 03:00:00
Asbury Park,,SPHERE,NJ,1982-08-15 03:45:00,False,24855 days 03:45:00
Tuckerton,,SPHERE,NJ,1982-08-15 06:15:00,False,24855 days 06:15:00
Old Woman Mountains area,,DISK,CA,1982-08-15 22:00:00,False,24855 days 22:00:00
Los Angeles,,OVAL,CA,1982-08-17 16:00:00,False,24857 days 16:00:00
Vacaville,,FIREBALL,CA,1982-08-17 19:00:00,False,24857 days 19:00:00
Liverpool,,TRIANGLE,NY,1982-08-18 21:00:00,False,24858 days 21:00:00
Fowlerville,,OVAL,MI,1982-08-20 23:30:00,False,24860 days 23:30:00
Southwest Harbor,,CYLINDER,ME,1982-08-27 01:00:00,False,24867 days 01:00:00
Nome,GREEN,LIGHT,ND,1982-09-01 00:00:00,False,24872 days 00:00:00
Crestwood,,LIGHT,KY,1982-09-01 21:00:00,False,24872 days 21:00:00
Palm Desert,,DISK,CA,1982-09-07 18:00:00,False,24878 days 18:00:00
Mount Kisco,RED BLUE,SPHERE,NY,1982-09-09 16:10:00,False,24880 days 16:10:00
Mason City,ORANGE,SPHERE,IA,1982-09-12 05:30:00,False,24883 days 05:30:00
Wiley,,FLASH,GA,1982-09-12 22:00:00,False,24883 days 22:00:00
Murphysboro,,LIGHT,IL,1982-09-13 21:00:00,False,24884 days 21:00:00
Ripley,,,TN,1982-09-14 02:00:00,False,24885 days 02:00:00
Calion,,TRIANGLE,AR,1982-09-14 19:00:00,False,24885 days 19:00:00
Calion,,TRIANGLE,AR,1982-09-14 19:00:00,False,24885 days 19:00:00
La Crosse,,DISK,WI,1982-09-15 17:00:00,False,24886 days 17:00:00
Lost Creek,,LIGHT,WV,1982-09-15 21:00:00,False,24886 days 21:00:00
Eidson,,CHEVRON,TN,1982-09-15 22:00:00,False,24886 days 22:00:00
Janesville,,RECTANGLE,WI,1982-09-15 22:00:00,False,24886 days 22:00:00
Gilbert,,,WV,1982-09-18 19:00:00,False,24889 days 19:00:00
Slidell,,VARIOUS,LA,1982-09-20 12:00:00,False,24891 days 12:00:00
Luray,,,VA,1982-09-20 16:22:00,False,24891 days 16:22:00
Dixie,,DISK,ID,1982-09-20 19:00:00,False,24891 days 19:00:00
Swartz Creek,,FIREBALL,MI,1982-10-01 22:10:00,False,24902 days 22:10:00
San Antonio,,CIRCLE,TX,1982-10-05 23:00:00,False,24906 days 23:00:00
New Haven,,TRIANGLE,CT,1982-10-07 23:00:00,False,24908 days 23:00:00
Weaverville,,OTHER,NC,1982-10-08 18:00:00,False,24909 days 18:00:00
Pearlington,,LIGHT,MS,1982-10-12 05:30:00,False,24913 days 05:30:00
Pearlington,,LIGHT,MS,1982-10-12 05:30:00,False,24913 days 05:30:00
Van Nuys,,DISK,CA,1982-10-15 14:00:00,False,24916 days 14:00:00
Snoqualmine,ORANGE,OVAL,WA,1982-10-15 18:00:00,False,24916 days 18:00:00
Lake City,,,FL,1982-10-15 19:00:00,False,24916 days 19:00:00
Smithfield,,CIRCLE,RI,1982-10-15 19:30:00,False,24916 days 19:30:00
Barton,,RECTANGLE,VT,1982-10-15 20:00:00,False,24916 days 20:00:00
North Hudson,,DISK,NY,1982-10-15 20:00:00,False,24916 days 20:00:00
Hampton,,CHEVRON,VA,1982-10-15 20:30:00,False,24916 days 20:30:00
Concord,,RECTANGLE,OH,1982-10-15 21:00:00,False,24916 days 21:00:00
Omaha,,DISK,NE,1982-10-15 21:00:00,False,24916 days 21:00:00
Narragansette,GREEN,CHEVRON,RI,1982-10-15 22:00:00,False,24916 days 22:00:00
Chillicothe,,RECTANGLE,OH,1982-10-15 23:00:00,False,24916 days 23:00:00
Orem,,TRIANGLE,UT,1982-10-21 23:30:00,False,24922 days 23:30:00
Dilworth,ORANGE,OTHER,MN,1982-10-31 18:30:00,False,24932 days 18:30:00
East Texas River,,EGG,TX,1982-11-01 00:00:00,False,24933 days 00:00:00
Ft. Leonard Wood,,DISK,MO,1982-11-01 04:30:00,False,24933 days 04:30:00
Woolwich,,VARIOUS,ME,1982-11-01 06:15:00,False,24933 days 06:15:00
Oxnard,GREEN,SPHERE,CA,1982-11-01 23:15:00,False,24933 days 23:15:00
Florida,,LIGHT,FL,1982-11-11 00:00:00,False,24943 days 00:00:00
Marksville,,CIRCLE,LA,1982-11-15 03:00:00,False,24947 days 03:00:00
Fremont,BLUE,LIGHT,OH,1982-11-15 20:00:00,False,24947 days 20:00:00
Surfside,,DIAMOND,FL,1982-11-20 00:00:00,False,24952 days 00:00:00
Clinton Township,,CIRCLE,MI,1982-11-23 15:45:00,False,24955 days 15:45:00
Madill,,FIREBALL,OK,1982-12-01 02:00:00,True,24963 days 02:00:00
Nyack,,CIGAR,CA,1982-12-01 22:00:00,True,24963 days 22:00:00
Boone,BLUE,CHEVRON,NC,1982-12-10 22:00:00,True,24972 days 22:00:00
Huntington,,,NY,1982-12-10 23:00:00,True,24972 days 23:00:00
Sanford,,DISK,FL,1982-12-15 06:30:00,True,24977 days 06:30:00
Kingsport,,TRIANGLE,TN,1982-12-15 21:00:00,True,24977 days 21:00:00
Kansas City,,CIRCLE,MO,1982-12-25 01:45:00,True,24987 days 01:45:00
High Point,,LIGHT,NC,1982-12-25 19:00:00,True,24987 days 19:00:00
Crosby,,CYLINDER,TX,1983-01-10 20:00:00,False,25003 days 20:00:00
Seattle,ORANGE,SPHERE,WA,1983-01-13 17:00:00,False,25006 days 17:00:00
Glidden,,LIGHT,IA,1983-01-20 18:30:00,False,25013 days 18:30:00
Las Vegas,,CIRCLE,NV,1983-02-11 00:00:00,False,25035 days 00:00:00
West Palm Beach,,DISK,FL,1983-02-15 01:00:00,False,25039 days 01:00:00
Tilden,,FIREBALL,TX,1983-02-28 21:30:00,False,25052 days 21:30:00
Sandpoint,,DISK,ID,1983-03-01 19:00:00,False,25053 days 19:00:00
O'Fallon,,DISK,IL,1983-03-01 20:00:00,False,25053 days 20:00:00
Phoenixville,,SPHERE,PA,1983-03-10 03:00:00,False,25062 days 03:00:00
Milpitas,,CIRCLE,CA,1983-03-22 13:00:00,False,25074 days 13:00:00
Overbrook,,OTHER,KS,1983-03-27 21:57:00,False,25079 days 21:57:00
New Rochelle,,DISK,NY,1983-04-01 17:14:00,False,25084 days 17:14:00
Bishop,,,CA,1983-04-01 21:00:00,False,25084 days 21:00:00
Waikiki,,DISK,HI,1983-04-05 20:00:00,False,25088 days 20:00:00
Fruita,,TRIANGLE,CO,1983-04-07 00:00:00,False,25090 days 00:00:00
Honolulu,,OVAL,HI,1983-04-07 23:00:00,False,25090 days 23:00:00
Katonah,,SPHERE,NY,1983-04-15 12:00:00,False,25098 days 12:00:00
New Orleans,,OVAL,LA,1983-04-15 13:30:00,False,25098 days 13:30:00
Williamstown,,TRIANGLE,NJ,1983-04-15 19:00:00,False,25098 days 19:00:00
St. Robert,,OTHER,MO,1983-04-20 00:00:00,False,25103 days 00:00:00
Wyoming,,OTHER,WY,1983-04-20 00:00:00,False,25103 days 00:00:00
Prince William Sound,,OTHER,AK,1983-04-20 09:00:00,False,25103 days 09:00:00
Oshkosh,,TRIANGLE,WI,1983-04-23 08:30:00,False,25106 days 08:30:00
Oshkosh,,TRIANGLE,WI,1983-04-23 20:30:00,False,25106 days 20:30:00
Blythe,,VARIOUS,AZ,1983-04-27 23:42:00,False,25110 days 23:42:00
Lehi,,,UT,1983-04-30 09:00:00,False,25113 days 09:00:00
North Kansas City,,OTHER,MO,1983-05-01 17:30:00,False,25114 days 17:30:00
Washington County,,DIAMOND,MS,1983-05-01 19:00:00,False,25114 days 19:00:00
Chesterfield,,CYLINDER,VA,1983-05-01 21:00:00,False,25114 days 21:00:00
Minneapolis,,DISK,MN,1983-05-02 09:00:00,False,25115 days 09:00:00
Riverside,,CIRCLE,TX,1983-05-05 19:45:00,False,25118 days 19:45:00
Bremerton,,TRIANGLE,WA,1983-05-10 23:15:00,False,25123 days 23:15:00
Granite City,,DISK,IL,1983-05-13 21:30:00,False,25126 days 21:30:00
Roslyn,,DISK,NY,1983-05-15 00:00:00,False,25128 days 00:00:00
Willits,,DIAMOND,CA,1983-05-15 19:30:00,False,25128 days 19:30:00
Tallahassee,,,FL,1983-05-17 05:45:00,False,25130 days 05:45:00
Valley City,,OTHER,ND,1983-05-20 21:30:00,False,25133 days 21:30:00
Pacoima,,OTHER,CA,1983-05-24 01:30:00,False,25137 days 01:30:00
San Bernadino,,DISK,CA,1983-05-28 21:15:00,False,25141 days 21:15:00
Muskegon County,,DISK,MI,1983-05-31 08:00:00,False,25144 days 08:00:00
Hampton,,CIRCLE,GA,1983-06-01 00:00:00,False,25145 days 00:00:00
Nevada,,OTHER,NV,1983-06-01 10:00:00,False,25145 days 10:00:00
Cleveland,,OVAL,OH,1983-06-01 11:00:00,False,25145 days 11:00:00
San Diego,,,CA,1983-06-01 15:30:00,False,25145 days 15:30:00
Dearborn,,DISK,MI,1983-06-01 16:00:00,False,25145 days 16:00:00
St. Louis,,DISK,MO,1983-06-01 19:00:00,False,25145 days 19:00:00
Crosby,RED ORANGE,OVAL,TX,1983-06-01 20:00:00,False,25145 days 20:00:00
Phoenix,,CIRCLE,AZ,1983-06-01 21:30:00,False,25145 days 21:30:00
Sarasota,,DISK,FL,1983-06-01 22:00:00,False,25145 days 22:00:00
Alpena,,SPHERE,AR,1983-06-01 23:00:00,False,25145 days 23:00:00
Phoenix,,DISK,AZ,1983-06-01 23:00:00,False,25145 days 23:00:00
Westwood,,OTHER,CA,1983-06-01 23:00:00,False,25145 days 23:00:00
Jeffersonville,,OVAL,IN,1983-06-02 22:00:00,False,25146 days 22:00:00
North Bend,,OVAL,OR,1983-06-06 22:00:00,False,25150 days 22:00:00
North Canton,,VARIOUS,OH,1983-06-15 00:00:00,False,25159 days 00:00:00
Cloverdale,,EGG,CA,1983-06-15 00:15:00,False,25159 days 00:15:00
Shokan,,LIGHT,NY,1983-06-15 02:00:00,False,25159 days 02:00:00
Garden City,,DISK,MI,1983-06-15 11:30:00,False,25159 days 11:30:00
Borger,,OTHER,TX,1983-06-15 17:30:00,False,25159 days 17:30:00
Sandpoint,,DISK,ID,1983-06-15 18:00:00,False,25159 days 18:00:00
Amarillo,,TRIANGLE,TX,1983-06-15 19:00:00,False,25159 days 19:00:00
Phoenix,,SPHERE,AZ,1983-06-15 19:30:00,False,25159 days 19:30:00
Reno,GREEN,LIGHT,NV,1983-06-15 20:00:00,False,25159 days 20:00:00
Jacksonville,,TRIANGLE,FL,1983-06-15 21:30:00,False,25159 days 21:30:00
St. Paul Park,,TRIANGLE,MN,1983-06-15 22:00:00,False,25159 days 22:00:00
Red Wing,,TRIANGLE,MN,1983-06-15 22:30:00,False,25159 days 22:30:00
Truckee,,CIRCLE,CA,1983-06-18 23:00:00,False,25162 days 23:00:00
Tulsa,,CIRCLE,OK,1983-06-27 07:30:00,False,25171 days 07:30:00
North Port,,,MI,1983-06-30 00:00:00,False,25174 days 00:00:00
Williamsburg,YELLOW,CIRCLE,VA,1983-06-30 01:00:00,False,25174 days 01:00:00
Amesbury,,TRIANGLE,MA,1983-06-30 03:00:00,False,25174 days 03:00:00
San Diego,,OTHER,CA,1983-06-30 15:00:00,False,25174 days 15:00:00
Stonewall,,OVAL,LA,1983-06-30 18:00:00,False,25174 days 18:00:00
Wedgefield,,DISK,SC,1983-06-30 21:00:00,False,25174 days 21:00:00
Koneohe Bay,,,HI,1983-06-30 22:00:00,False,25174 days 22:00:00
Swayzee,YELLOW GREEN BLUE,,IN,1983-07-01 01:30:00,False,25175 days 01:30:00
Ft. Huachuca,,LIGHT,AZ,1983-07-01 02:30:00,False,25175 days 02:30:00
Strandburg,RED GREEN,FORMATION,SD,1983-07-01 04:00:00,False,25175 days 04:00:00
Sharps Creek,,DIAMOND,OR,1983-07-01 15:00:00,False,25175 days 15:00:00
Warwick,,DISK,RI,1983-07-01 18:00:00,False,25175 days 18:00:00
Pittsburg,,FLASH,KS,1983-07-01 21:10:00,False,25175 days 21:10:00
Lumberton,,DISK,TX,1983-07-03 00:00:00,False,25177 days 00:00:00
Sharpsville,RED,OVAL,PA,1983-07-04 21:00:00,False,25178 days 21:00:00
New York City,,FIREBALL,NY,1983-07-10 20:00:00,False,25184 days 20:00:00
Mountain Home,,OVAL,ID,1983-07-10 21:00:00,False,25184 days 21:00:00
Savanah,,RECTANGLE,GA,1983-07-15 00:00:00,False,25189 days 00:00:00
Vanderbilt,,OTHER,MI,1983-07-15 00:00:00,False,25189 days 00:00:00
Hollywood,YELLOW,FIREBALL,FL,1983-07-15 05:30:00,False,25189 days 05:30:00
Grand Prairie,,,TX,1983-07-15 18:00:00,False,25189 days 18:00:00
Lake City,,TRIANGLE,FL,1983-07-15 18:00:00,False,25189 days 18:00:00
Moreno Valley,,VARIOUS,CA,1983-07-15 18:30:00,False,25189 days 18:30:00
Fair Lawn,GREEN,SPHERE,NJ,1983-07-15 19:00:00,False,25189 days 19:00:00
Edison,,SPHERE,NJ,1983-07-15 20:00:00,False,25189 days 20:00:00
Poughkeepsie,,OTHER,NY,1983-07-15 21:15:00,False,25189 days 21:15:00
Little Falls,,RECTANGLE,NJ,1983-07-15 22:00:00,False,25189 days 22:00:00
Taylorville,,DISK,IL,1983-07-15 22:00:00,False,25189 days 22:00:00
Goldens Bridge,,CHEVRON,VA,1983-07-20 22:30:00,False,25194 days 22:30:00
San Antonio,,CIGAR,TX,1983-07-27 21:00:00,False,25201 days 21:00:00
Santa Rosa,RED,,CA,1983-08-01 01:30:00,False,25206 days 01:30:00
Reedsville,,SPHERE,WV,1983-08-01 14:30:00,False,25206 days 14:30:00
Mt. Kisco,,TRIANGLE,NY,1983-08-01 21:00:00,False,25206 days 21:00:00
Dallas,RED YELLOW GREEN,SPHERE,TX,1983-08-01 22:30:00,False,25206 days 22:30:00
Cassopolis,,SPHERE,MI,1983-08-08 15:00:00,False,25213 days 15:00:00
Pulaski,,TRIANGLE,VA,1983-08-12 23:40:00,False,25217 days 23:40:00
Hastings,,OTHER,MI,1983-08-14 02:00:00,False,25219 days 02:00:00
Plattekill,,DISK,NY,1983-08-15 00:30:00,False,25220 days 00:30:00
Citrus Heights,,DISK,CA,1983-08-15 17:00:00,False,25220 days 17:00:00
Cookstown,,TRIANGLE,NJ,1983-08-15 20:00:00,False,25220 days 20:00:00
Hartford,,FIREBALL,CT,1983-08-15 21:00:00,False,25220 days 21:00:00
Katonah,,TRIANGLE,NY,1983-08-15 21:00:00,False,25220 days 21:00:00
Quinton,,OTHER,VA,1983-08-15 21:00:00,False,25220 days 21:00:00
Shellsburg,,TRIANGLE,IA,1983-08-15 21:00:00,False,25220 days 21:00:00
Bedford Hills,,CHEVRON,NY,1983-08-15 21:05:00,False,25220 days 21:05:00
Columbus,,DISK,GA,1983-08-15 23:30:00,False,25220 days 23:30:00
Peoria County,RED ORANGE,CIGAR,IL,1983-08-20 18:00:00,False,25225 days 18:00:00
New Haven,,SPHERE,CT,1983-08-21 22:50:00,False,25226 days 22:50:00
Van Nuys,,TRIANGLE,CA,1983-08-22 22:00:00,False,25227 days 22:00:00
North Las Vegas,,DIAMOND,NV,1983-09-01 19:30:00,False,25237 days 19:30:00
Allentown,,DISK,PA,1983-09-01 20:00:00,False,25237 days 20:00:00
Boulder,,TRIANGLE,CO,1983-09-01 21:30:00,False,25237 days 21:30:00
Maroa,,DISK,IL,1983-09-04 15:10:00,False,25240 days 15:10:00
Mulberry,,LIGHT,IN,1983-09-10 19:00:00,False,25246 days 19:00:00
Plomosa Mountains,,FIREBALL,AZ,1983-09-12 21:00:00,False,25248 days 21:00:00
Ocean Isle Beach,,DISK,SC,1983-09-13 10:49:00,False,25249 days 10:49:00
Minden,,SPHERE,NV,1983-09-15 05:00:00,False,25251 days 05:00:00
Clovis,,TRIANGLE,NM,1983-09-15 21:00:00,False,25251 days 21:00:00
Stratford,,TRIANGLE,CT,1983-09-15 21:00:00,False,25251 days 21:00:00
Hamersville,RED,SPHERE,OH,1983-09-30 20:00:00,False,25266 days 20:00:00
Ayer,,,MA,1983-10-01 20:00:00,False,25267 days 20:00:00
Elizabeth Township,,OVAL,PA,1983-10-01 20:30:00,False,25267 days 20:30:00
Tarboro,,DISK,NC,1983-10-01 21:00:00,False,25267 days 21:00:00
California Valley,,DISK,CA,1983-10-15 00:00:00,False,25281 days 00:00:00
Crete,,TRIANGLE,NE,1983-10-15 19:00:00,False,25281 days 19:00:00
Upper Saddle River,,,NJ,1983-10-21 03:00:00,False,25287 days 03:00:00
California Valley,,DISK,CA,1983-10-25 02:00:00,False,25291 days 02:00:00
Orange,ORANGE,DIAMOND,MA,1983-10-25 20:55:00,False,25291 days 20:55:00
Rochester,,DIAMOND,NH,1983-10-31 19:00:00,False,25297 days 19:00:00
Citrus Heights,ORANGE,DISK,CA,1983-11-01 20:00:00,False,25298 days 20:00:00
Gibsonville,,LIGHT,NC,1983-11-01 20:00:00,False,25298 days 20:00:00
Kingston,,TRIANGLE,NY,1983-11-01 21:00:00,False,25298 days 21:00:00
Virginia Beach,,LIGHT,VA,1983-11-15 17:00:00,False,25312 days 17:00:00
Sutherland,,OTHER,NE,1983-11-15 23:30:00,False,25312 days 23:30:00
Lake Okeechoobee,,OVAL,FL,1983-11-28 23:00:00,False,25325 days 23:00:00
Madison,,,WI,1983-12-01 02:00:00,True,25328 days 02:00:00
Indian Springs,,,NV,1983-12-03 02:00:00,True,25330 days 02:00:00
Kent,,,WA,1983-12-05 05:00:00,True,25332 days 05:00:00
Garner,,TRIANGLE,NC,1983-12-15 01:15:00,True,25342 days 01:15:00
Charlottesville,,DISK,VA,1983-12-31 20:00:00,True,25358 days 20:00:00
Fayetteville,,FIREBALL,NC,1984-01-03 13:00:00,False,25361 days 13:00:00
St. George,,FORMATION,UT,1984-01-08 22:00:00,False,25366 days 22:00:00
Idaho,,VARIOUS,ID,1984-01-13 02:12:00,False,25371 days 02:12:00
Valier,,LIGHT,MT,1984-01-21 21:00:00,False,25379 days 21:00:00
Bozeman,,CIGAR,MT,1984-01-23 06:45:00,False,25381 days 06:45:00
Kirkland,,CIRCLE,IL,1984-01-24 00:00:00,False,25382 days 00:00:00
Rolla,YELLOW,LIGHT,MO,1984-01-26 19:30:00,False,25384 days 19:30:00
Columbia,,,SC,1984-02-01 21:00:00,False,25390 days 21:00:00
Marlow,,FIREBALL,NH,1984-02-10 22:00:00,False,25399 days 22:00:00
Eugene,,TRIANGLE,OR,1984-03-01 22:00:00,False,25419 days 22:00:00
Cowansville,,TRIANGLE,PA,1984-03-14 16:00:00,False,25432 days 16:00:00
Griffin,RED YELLOW,CIRCLE,GA,1984-03-15 20:00:00,False,25433 days 20:00:00
Greenville,,TRIANGLE,VA,1984-03-15 21:30:00,False,25433 days 21:30:00
Alton,,OTHER,ME,1984-03-18 02:30:00,False,25436 days 02:30:00
Newburgh,,CIRCLE,NY,1984-03-24 08:00:00,False,25442 days 08:00:00
Mettacahonts,,FORMATION,NY,1984-03-27 20:00:00,False,25445 days 20:00:00
Rosendale,,CIRCLE,NY,1984-03-27 23:00:00,False,25445 days 23:00:00
Griffin,,CIRCLE,GA,1984-03-30 13:00:00,False,25448 days 13:00:00
Arlington,,TRIANGLE,TX,1984-04-05 21:30:00,False,25454 days 21:30:00
Monahans,,,TX,1984-04-11 02:00:00,False,25460 days 02:00:00
Southwest City,,LIGHT,MO,1984-04-11 21:30:00,False,25460 days 21:30:00
Branford,,EGG,CT,1984-04-15 00:00:00,False,25464 days 00:00:00
Lake Worth,,DISK,FL,1984-04-15 02:00:00,False,25464 days 02:00:00
Elizabethtown,,DISK,KY,1984-04-15 15:00:00,False,25464 days 15:00:00
Yelvington,,TRIANGLE,KY,1984-04-15 21:00:00,False,25464 days 21:00:00
Magnolia,,DISK,TX,1984-04-21 22:00:00,False,25470 days 22:00:00
Auburn,,TRIANGLE,NY,1984-04-23 05:30:00,False,25472 days 05:30:00
Joliet,,CIRCLE,IL,1984-05-01 18:00:00,False,25480 days 18:00:00
Glen Rose,,TRIANGLE,AR,1984-05-01 19:00:00,False,25480 days 19:00:00
Burnsville,RED,RECTANGLE,MN,1984-05-01 20:00:00,False,25480 days 20:00:00
Proctorville,BLUE,DISK,OH,1984-05-05 12:00:00,False,25484 days 12:00:00
Cloquet,,OTHER,MN,1984-05-05 22:00:00,False,25484 days 22:00:00
Los Angeles,,DISK,CA,1984-05-14 15:00:00,False,25493 days 15:00:00
Cleveland,,OTHER,GA,1984-05-15 16:00:00,False,25494 days 16:00:00
Flower Mound,,DISK,TX,1984-05-15 18:45:00,False,25494 days 18:45:00
Winchester,,CIRCLE,VA,1984-05-15 23:00:00,False,25494 days 23:00:00
Barstow,,CIRCLE,CA,1984-05-20 21:00:00,False,25499 days 21:00:00
Marlette,,,MI,1984-05-20 22:30:00,False,25499 days 22:30:00
Longview,,TRIANGLE,TX,1984-05-21 21:30:00,False,25500 days 21:30:00
Huntsville,,SPHERE,AL,1984-06-01 00:00:00,False,25511 days 00:00:00
Huntsville,,SPHERE,AL,1984-06-01 00:00:00,False,25511 days 00:00:00
Mayfield,,DISK,KY,1984-06-01 00:00:00,False,25511 days 00:00:00
Sweetwater,,,TN,1984-06-01 00:00:00,False,25511 days 00:00:00
Tampa,,CYLINDER,FL,1984-06-01 02:20:00,False,25511 days 02:20:00
Colfax,,OVAL,WA,1984-06-01 12:00:00,False,25511 days 12:00:00
Orlando,,CIRCLE,FL,1984-06-01 12:00:00,False,25511 days 12:00:00
Bowling Green,,,KY,1984-06-01 13:00:00,False,25511 days 13:00:00
Elmendorf AFB,RED,DIAMOND,AK,1984-06-01 13:00:00,False,25511 days 13:00:00
Wakefield,,EGG,MA,1984-06-01 17:00:00,False,25511 days 17:00:00
Mobile,,SPHERE,AL,1984-06-01 17:15:00,False,25511 days 17:15:00
Sierra Vista,,TRIANGLE,AZ,1984-06-01 18:00:00,False,25511 days 18:00:00
Parker City,,FIREBALL,IN,1984-06-01 19:00:00,False,25511 days 19:00:00
Paramus,,CIGAR,NJ,1984-06-01 20:00:00,False,25511 days 20:00:00
Bandon,,RECTANGLE,OR,1984-06-01 21:00:00,False,25511 days 21:00:00
Ka'anapali,,LIGHT,HI,1984-06-01 21:00:00,False,25511 days 21:00:00
Perry,,OTHER,OH,1984-06-01 21:00:00,False,25511 days 21:00:00
Ferriday,,OTHER,LA,1984-06-01 22:00:00,False,25511 days 22:00:00
Tolland,,TRIANGLE,CT,1984-06-01 22:00:00,False,25511 days 22:00:00
Los Angeles,,CIRCLE,CA,1984-06-01 23:00:00,False,25511 days 23:00:00
Ravenna,,CIRCLE,MI,1984-06-01 23:30:00,False,25511 days 23:30:00
Clayton,,DISK,OH,1984-06-10 22:00:00,False,25520 days 22:00:00
Spalding,,LIGHT,NE,1984-06-15 00:30:00,False,25525 days 00:30:00
Burgettstown,,FIREBALL,PA,1984-06-15 01:00:00,False,25525 days 01:00:00
Ashville,,DISK,OH,1984-06-15 02:50:00,False,25525 days 02:50:00
Jacksonport,,DISK,WI,1984-06-15 03:00:00,False,25525 days 03:00:00
Methow,,OVAL,WA,1984-06-15 03:00:00,False,25525 days 03:00:00
Griffin,,,GA,1984-06-15 14:00:00,False,25525 days 14:00:00
Draper,,CONE,VA,1984-06-15 16:45:00,False,25525 days 16:45:00
Asheville,,CIRCLE,NC,1984-06-15 18:00:00,False,25525 days 18:00:00
Ely,,DIAMOND,MN,1984-06-15 19:00:00,False,25525 days 19:00:00
Mansfield,RED,FORMATION,OH,1984-06-15 20:00:00,False,25525 days 20:00:00
Wheeling,,,WY,1984-06-15 20:30:00,False,25525 days 20:30:00
Greenburg,,,NY,1984-06-15 21:30:00,False,25525 days 21:30:00
Grain Valley,,SPHERE,MO,1984-06-15 22:00:00,False,25525 days 22:00:00
Indjifa,,DISK,PA,1984-06-15 22:30:00,False,25525 days 22:30:00
Lorain,,CIRCLE,OH,1984-06-17 10:00:00,False,25527 days 10:00:00
Wilkes-Barre,,OTHER,PA,1984-06-19 11:00:00,False,25529 days 11:00:00
Sacramento,,CIRCLE,CA,1984-06-20 12:00:00,False,25530 days 12:00:00
Holmwood,,OVAL,LA,1984-06-20 20:20:00,False,25530 days 20:20:00
Columbia,,OVAL,SC,1984-06-24 19:00:00,False,25534 days 19:00:00
Tallahassee,,,FL,1984-06-24 21:00:00,False,25534 days 21:00:00
El Paso,,CIRCLE,TX,1984-06-30 00:30:00,False,25540 days 00:30:00
Adelanto,,SPHERE,CA,1984-06-30 06:40:00,False,25540 days 06:40:00
Malvern,,,AR,1984-06-30 08:30:00,False,25540 days 08:30:00
Atlanta,,,GA,1984-06-30 12:00:00,False,25540 days 12:00:00
Denton,,LIGHT,TX,1984-06-30 21:00:00,False,25540 days 21:00:00
Oakhill,,CIRCLE,TX,1984-06-30 21:30:00,False,25540 days 21:30:00
Milford,,SPHERE,CT,1984-06-30 22:00:00,False,25540 days 22:00:00
New York City,,TRIANGLE,NY,1984-07-01 21:30:00,False,25541 days 21:30:00
Peekskill,,TRIANGLE,NY,1984-07-01 22:00:00,False,25541 days 22:00:00
DeWitt,BLUE,FIREBALL,AR,1984-07-04 04:00:00,False,25544 days 04:00:00
Eatonton,,TRIANGLE,GA,1984-07-07 22:00:00,False,25547 days 22:00:00
Irvington,,CYLINDER,KY,1984-07-08 23:00:00,False,25548 days 23:00:00
Martin,,OVAL,SD,1984-07-08 23:00:00,False,25548 days 23:00:00
Blairstown,BLUE,LIGHT,MO,1984-07-10 03:30:00,False,25550 days 03:30:00
Lake Skinner,BLUE,LIGHT,CA,1984-07-10 04:00:00,False,25550 days 04:00:00
New Pine Creek,,LIGHT,CA,1984-07-10 22:30:00,False,25550 days 22:30:00
Portsmouth,,CIRCLE,VA,1984-07-14 22:00:00,False,25554 days 22:00:00
Deming area,,CYLINDER,NM,1984-07-15 02:00:00,False,25555 days 02:00:00
Brighton,,OTHER,MI,1984-07-15 23:00:00,False,25555 days 23:00:00
Knightstown,,TRIANGLE,IN,1984-07-18 01:30:00,False,25558 days 01:30:00
Millwood,,TRIANGLE,NY,1984-07-19 18:00:00,False,25559 days 18:00:00
Ossining,,OTHER,NY,1984-07-19 18:00:00,False,25559 days 18:00:00
Iowa City,,CIRCLE,IA,1984-07-20 22:00:00,False,25560 days 22:00:00
Brewster,RED,OVAL,NY,1984-07-24 22:00:00,False,25564 days 22:00:00
Perkiomenville,GREEN,DISK,PA,1984-07-24 22:00:00,False,25564 days 22:00:00
Terre Haute,,OTHER,IN,1984-07-25 04:00:00,False,25565 days 04:00:00
Watchung Mountains,,,NJ,1984-07-25 12:00:00,False,25565 days 12:00:00
